title,url,price,primary_image_url,retailer_sku_code,currency,crawl_time,current_price,categories
Kuboq Advanced TPU Case for Galaxy S5 ,http://www.expansys.com.sg/kuboq-advanced-tpu-case-for-galaxy-s5-w-screen-protector-transparent-259628/,1.74,http://i2.expansys.com/img/b/259628/kuboq-advanced-tpu-case-for-galaxy-s5.jpg,259628,SG$,2016-04-18 14:34:59,1.74,"Mobile Phones,Phone Accessories,Cases & Covers"
OtterBox Defender case for Samsung Galaxy S5 ,http://www.expansys.com.sg/otterbox-defender-case-for-samsung-galaxy-s5-glacier-259326/,68.20,http://i2.expansys.com/img/b/259326/otterbox-defender-case-for-samsung-galaxy-s5.jpg,259326,SG$,2016-04-18 14:35:04,62.99,"Mobile Phones,Phone Accessories,Cases & Covers"
AT Screen Guard for Sony Xperia Z2 ,http://www.expansys.com.sg/at-screen-guard-for-xperia-z2-front-anti-fingerprint-crystal-clear-259315/,12.58,http://i2.expansys.com/img/b/259315/at-screen-guard-for-xperia-z2.jpg,259315,SG$,2016-04-18 14:35:10,11.99,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
HTC One (M8)/M8s Dot View Cover HC M100 ,http://www.expansys.com.sg/htc-one-m8-dot-flip-case-grey-hc-m100-retail-blister-258361/,32.99,http://i1.expansys.com/img/b/258361/htc-one-m8-dot-flip-case-grey-hc-m100.jpg,258361,SG$,2016-04-18 14:35:11,32.99,"Mobile Phones,Phone Accessories,Cases & Covers"
Krusell FrostCover for Xperia Z1 Compact ,http://www.expansys.com.sg/krusell-frostcover-for-sony-xperia-z1-compact-transparent-blue-257885/,5.60,http://i2.expansys.com/img/b/257885/krusell-frostcover-for-sony-xperia-z1-compact.jpg,257885,SG$,2016-04-18 14:35:16,5.60,"Mobile Phones,Phone Accessories,Cases & Covers"
Kuboq Leather Case for Galaxy Tab3 ,http://www.expansys.com.sg/kuboq-leather-case-for-galaxy-tab3-8-slim-cut-black-257871/,3.99,http://i1.expansys.com/img/b/257871/kuboq-leather-case-for-galaxy-tab3.jpg,257871,SG$,2016-04-18 14:35:19,3.99,"Mobile Phones,Phone Accessories,Cases & Covers"
Google Nexus 7 Case (2013) ,http://www.expansys.com.sg/google-nexus-7-case-2013-white-red-270043/,28.16,http://i1.expansys.com/img/b/270043/google-nexus-7-case-2013.jpg,270043,SG$,2016-04-18 14:35:21,1.99,"Tablet PCs & iPads,Tablet Accessories,Cases"
Strontium NITRO 433X MicroSDHC Card 3-in-1 ,http://www.expansys.com.sg/strontium-nitro-microsdhc-uhs-1-card-3-in-1-mobility-kit-16gb-r65mb-s-for-tablets-smartphones-282113/,16.23,http://i1.expansys.com/img/b/282113/strontium-nitro-microsdhc-uhs-1-card-3-in-1-mobility-kit.jpg,282113,SG$,2016-04-18 14:35:25,11.99,"Mobile Phones,Phone Accessories,Memory & Storage"
innerexile Chevalier premium protective case  for iPhone 5s ,http://www.expansys.com.sg/innerexile-chevalier-premium-protective-case-for-iphone-5s-blue-266692/,47.96,http://i1.expansys.com/img/b/266692/innerexile-chevalier-premium-protective-case-for-iphone-5s.jpg,266692,SG$,2016-04-18 14:35:32,47.47,"Mobile Phones,Phone Accessories,Cases & Covers"
innerexile Chevalier premium protective case  for iPhone 5s ,http://www.expansys.com.sg/innerexile-chevalier-premium-protective-case-for-iphone-5s-red-266691/,47.96,http://i1.expansys.com/img/b/266691/innerexile-chevalier-premium-protective-case-for-iphone-5s.jpg,266691,SG$,2016-04-18 14:35:35,47.47,"Mobile Phones,Phone Accessories,Cases & Covers"
innerexile Chevalier premium protective case  for iPhone 5s ,http://www.expansys.com.sg/innerexile-chevalier-premium-protective-case-for-iphone-5s-white-266690/,47.96,http://i1.expansys.com/img/b/266690/innerexile-chevalier-premium-protective-case-for-iphone-5s.jpg,266690,SG$,2016-04-18 14:35:39,47.47,"Mobile Phones,Phone Accessories,Cases & Covers"
innerexile Chevalier premium protective case  for iPhone 5s ,http://www.expansys.com.sg/innerexile-chevalier-premium-protective-case-for-iphone-5s-dark-gray-266689/,47.96,http://i2.expansys.com/img/b/266689/innerexile-chevalier-premium-protective-case-for-iphone-5s.jpg,266689,SG$,2016-04-18 14:35:44,47.47,"Mobile Phones,Phone Accessories,Cases & Covers"
Plantronics Voyager Legend Charge Case,http://www.expansys.com.sg/plantronics-voyager-legend-charge-case-266687/,80.99,http://i2.expansys.com/img/b/266687/plantronics-voyager-legend-charge-case.jpg,266687,SG$,2016-04-18 14:35:47,80.99,"Mobile Phones,Phone Accessories,Power – Batteries"
innerexile Odyssey case  for iPhone 5/5s ,http://www.expansys.com.sg/innerexile-odyssey-case-for-iphone-5-5s-aluminum-bumper-with-plastic-back-cover-silver-266679/,123.34,http://i2.expansys.com/img/b/266679/innerexile-odyssey-case-for-iphone-5-5s.jpg,266679,SG$,2016-04-18 14:35:49,67.87,"Mobile Phones,Phone Accessories,Cases & Covers"
AT Screen Guard for Sony Xperia Z3 Compact ,http://www.expansys.com.sg/at-screen-guard-for-sony-xperia-z3-compact-anti-fingerprint-crystal-clear-front-266510/,13.99,http://i1.expansys.com/img/b/266510/at-screen-guard-for-sony-xperia-z3-compact.jpg,266510,SG$,2016-04-18 14:35:54,13.99,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
innerexile zynk USB cable with Lightning connector ,http://www.expansys.com.sg/innerexile-zynk-usb-cable-with-lightning-connector-1-8m-gold-white-266274/,33.99,http://i1.expansys.com/img/b/266274/innerexile-zynk-usb-cable-with-lightning-connector.jpg,266274,SG$,2016-04-18 14:35:57,33.99,"Mobile Phones,Phone Accessories,Cables"
Krusell Malmö FlipCase Stand for Samsung Galaxy Note 4 ,http://www.expansys.com.sg/krusell-malmo-flipcase-stand-for-samsung-galaxy-note-4-white-266147/,11.56,http://i2.expansys.com/img/b/266147/krusell-malmo-flipcase-stand-for-samsung-galaxy-note-4.jpg,266147,SG$,2016-04-18 14:36:00,11.56,"Mobile Phones,Phone Accessories,Cases & Covers"
melkco Poly Jacket TPU Case  for Apple iPhone 6 ,http://www.expansys.com.sg/melkco-poly-jacket-tpu-case-for-apple-iphone-6-with-screen-protector-black-265950/,24.58,http://i1.expansys.com/img/b/265950/melkco-poly-jacket-tpu-case-for-apple-iphone-6.jpg,265950,SG$,2016-04-18 14:36:04,1.99,"Mobile Phones,Phone Accessories,Cases & Covers"
melkco Poly Jacket TPU Case  for Sony Xperia Z3 ,http://www.expansys.com.sg/melkco-poly-jacket-tpu-case-for-sony-xperia-z3-with-screen-protector-black-265945/,17.99,http://i2.expansys.com/img/b/265945/melkco-poly-jacket-tpu-case-for-sony-xperia-z3.jpg,265945,SG$,2016-04-18 14:36:09,17.99,"Mobile Phones,Phone Accessories,Cases & Covers"
Samsung Gear Circle ,http://www.expansys.com.sg/samsung-gear-circle-white-265147/,139.99,http://i2.expansys.com/img/b/265147/samsung-gear-circle.jpg,265147,SG$,2016-04-18 14:36:13,139.99,"Mobile Phones,Phone Accessories,Headsets & Headphones – Bluetooth"
Sony Style Cover Stand SCR15  for Xperia C3 ,http://www.expansys.com.sg/sony-style-cover-stand-scr15-for-xperia-c3-white-264929/,52.99,http://i2.expansys.com/img/b/264929/sony-style-cover-stand-scr15-for-xperia-c3.jpg,264929,SG$,2016-04-18 14:36:15,52.99,"Mobile Phones,Phone Accessories,Cases & Covers"
HTC Desire 510 Dot View Case HC M130 ,http://www.expansys.com.sg/htc-desire-510-dot-view-case-hc-m130-orange-retail-blister-264870/,48.99,http://i1.expansys.com/img/b/264870/htc-desire-510-dot-view-case-hc-m130.jpg,264870,SG$,2016-04-18 14:36:19,48.99,"Mobile Phones,Phone Accessories,Cases & Covers"
TEKTOS Cably Gather - Magnet Cable Management ,http://www.expansys.com.sg/tektos-cably-gather-red-286775/,9.99,http://i2.expansys.com/img/b/286775/tektos-cably-gather.jpg,286775,SG$,2016-04-18 14:36:22,9.99,"Mobile Phones,Phone Accessories,Cables"
TEKTOS Cably Tie - Cable Management ,http://www.expansys.com.sg/tektos-cably-tie-red-286772/,8.99,http://i1.expansys.com/img/b/286772/tektos-cably-tie.jpg,286772,SG$,2016-04-18 14:36:24,8.99,"Mobile Phones,Phone Accessories,Cables"
